antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Tomato, salad type, raw', 'Fennel, raw'})","frozenset({'Lettuce, raw', 'Red chicory, ""Radicchio"", raw'})",0.020881079704609118,0.022108016760423177,0.020070838252656435,0.9611973392461197,43.477320904099095,1.0,0.019609198992571204,25.20167339663137,0.9978353829101441,0.8757575757575757,0.9603200952467836,0.9345253711937405
"frozenset({'Lettuce, raw', 'Red chicory, ""Radicchio"", raw'})","frozenset({'Tomato, salad type, raw', 'Fennel, raw'})",0.022108016760423177,0.020881079704609118,0.020070838252656435,0.9078534031413613,43.477320904099095,1.0,0.019609198992571204,10.625665555478397,0.999087342459745,0.8757575757575757,0.9058882481498376,0.9345253711937405
"frozenset({'Tomato, salad type, raw', 'Red chicory, ""Radicchio"", raw'})","frozenset({'Lettuce, raw', 'Fennel, raw'})",0.02051068361228789,0.023149755770076625,0.020070838252656435,0.9785553047404064,42.27065349887134,1.0,0.019596020936354656,45.552069283564,0.9967877230929965,0.8508341511285576,0.9780471004780277,0.9227776523702031
"frozenset({'Lettuce, raw', 'Fennel, raw'})","frozenset({'Tomato, salad type, raw', 'Red chicory, ""Radicchio"", raw'})",0.023149755770076625,0.02051068361228789,0.020070838252656435,0.867,42.27065349887133,1.0,0.019596020936354656,7.364581326223399,0.9994806586199912,0.8508341511285576,0.8642149559216279,0.9227776523702031
"frozenset({'Red chicory, ""Radicchio"", raw'})","frozenset({'Lettuce, raw', 'Tomato, salad type, raw', 'Fennel, raw'})",0.026992615227909345,0.02037178507766743,0.020070838252656435,0.7435677530017153,36.499882075471696,1.0,0.019520950496549293,3.8202224033426084,0.9995840385509931,0.7353689567430026,0.7382351354400145,0.8643975128644941
"frozenset({'Lettuce, raw', 'Tomato, salad type, raw', 'Fennel, raw'})","frozenset({'Red chicory, ""Radicchio"", raw'})",0.02037178507766743,0.026992615227909345,0.020070838252656435,0.9852272727272727,36.499882075471696,1.0,0.019520950496549293,65.86511527687999,0.9928283367047948,0.7353689567430026,0.9848174561633081,0.8643975128644941
"frozenset({'Celery, raw', 'Potato, raw', 'Onion, raw'})","frozenset({'Chard, raw', 'Carrots, raw'})",0.027455610343310878,0.023844248443178926,0.02352015186239785,0.8566610455311973,35.92736619787488,1.0,0.022865493468212834,6.810121890272879,0.9996109942709044,0.8466666666666665,0.8531597501318834,0.9215344062607442
"frozenset({'Chard, raw', 'Carrots, raw'})","frozenset({'Celery, raw', 'Potato, raw', 'Onion, raw'})",0.023844248443178926,0.027455610343310878,0.02352015186239785,0.9864077669902912,35.92736619787488,1.0,0.022865493468212834,71.55148009617038,0.9959128579295412,0.8466666666666665,0.9860240487177074,0.9215344062607442
"frozenset({'Celery, raw', 'Potato, raw'})","frozenset({'Chard, raw', 'Carrots, raw', 'Onion, raw'})",0.027640808389471493,0.023774799175868694,0.02352015186239785,0.8509212730318257,35.79089214328703,1.0,0.0228629971938795,6.548387021258496,0.9996922323321112,0.8431535269709542,0.8472906386330514,0.9201052324263316
"frozenset({'Chard, raw', 'Carrots, raw', 'Onion, raw'})","frozenset({'Celery, raw', 'Potato, raw'})",0.023774799175868694,0.027640808389471493,0.02352015186239785,0.9892891918208374,35.790892143287024,1.0,0.0228629971938795,90.78298998036497,0.9957332898896292,0.8431535269709542,0.9889847205934031,0.9201052324263316
"frozenset({'Chard, raw', 'Carrots, raw'})","frozenset({'Potato, raw', 'Celery, raw'})",0.023844248443178926,0.027640808389471493,0.02354330161816793,0.987378640776699,35.721771478752984,1.0,0.022884227315759065,77.040766719911,0.9957487481472914,0.8425849212924605,0.9870198591917498,0.9195687173732741
"frozenset({'Potato, raw', 'Celery, raw'})","frozenset({'Chard, raw', 'Carrots, raw'})",0.027640808389471493,0.023844248443178926,0.02354330161816793,0.8517587939698492,35.721771478752984,1.0,0.022884227315759065,6.584915069823978,0.9996366322197662,0.8425849212924605,0.8481377528189242,0.9195687173732741
"frozenset({'Tomato, salad type, raw', 'Fennel, raw'})","frozenset({'Red chicory, ""Radicchio"", raw'})",0.020881079704609118,0.026992615227909345,0.02009398800842651,0.9623059866962305,35.650713299585824,1.0,0.01953035305841669,25.813313560718314,0.9926782643087857,0.7233333333333333,0.9612603009045007,0.8533656863155252
"frozenset({'Red chicory, ""Radicchio"", raw'})","frozenset({'Tomato, salad type, raw', 'Fennel, raw'})",0.026992615227909345,0.020881079704609118,0.02009398800842651,0.7444253859348199,35.650713299585824,1.0,0.01953035305841669,3.8310491982027712,0.998913354165737,0.7233333333333333,0.7389749000171748,0.8533656863155252
"frozenset({'Celery, raw', 'Carrots, raw', 'Potato, raw'})","frozenset({'Chard, raw', 'Onion, raw'})",0.026251823043266894,0.025348982568233903,0.02352015186239785,0.8959435626102292,35.34435988499916,1.0,0.022854694857689716,9.366561472606968,0.9979037349487578,0.8375927452596867,0.893237235144983,0.911898721944384
"frozenset({'Chard, raw', 'Onion, raw'})","frozenset({'Celery, raw', 'Carrots, raw', 'Potato, raw'})",0.025348982568233903,0.026251823043266894,0.02352015186239785,0.9278538812785389,35.34435988499916,1.0,0.022854694857689716,13.496889288197764,0.9969793549748137,0.8375927452596867,0.9259088536145553,0.911898721944384
"frozenset({'Chard, raw', 'Celery, raw'})","frozenset({'Carrots, raw', 'Potato, raw', 'Onion, raw'})",0.024122045512419844,0.028381600574113944,0.02352015186239785,0.9750479846449136,34.35493294674252,1.0,0.022835529601633753,38.93947585391432,0.994890902247704,0.8115015974440893,0.9743191201712214,0.9018796203811843
"frozenset({'Carrots, raw', 'Potato, raw', 'Onion, raw'})","frozenset({'Chard, raw', 'Celery, raw'})",0.028381600574113944,0.024122045512419844,0.02352015186239785,0.8287112561174551,34.35493294674252,1.0,0.022835529601633753,5.697268439056062,0.9992524834826897,0.8115015974440893,0.8244772893015232,0.9018796203811843
"frozenset({'Potato, raw', 'Celery, raw'})","frozenset({'Chard, raw', 'Onion, raw'})",0.027640808389471493,0.025348982568233903,0.02352015186239785,0.8509212730318257,33.56826139831578,1.0,0.022819485492361243,6.537827611311957,0.9977896685669808,0.798114689709348,0.8470439938994769,0.8893875771551822
"frozenset({'Chard, raw', 'Onion, raw'})","frozenset({'Potato, raw', 'Celery, raw'})",0.025348982568233903,0.027640808389471493,0.02352015186239785,0.9278538812785389,33.56826139831578,1.0,0.022819485492361243,13.477636896373788,0.9954434337755663,0.798114689709348,0.9258030166795002,0.8893875771551822
"frozenset({'Lettuce, raw', 'Fennel, raw'})","frozenset({'Red chicory, ""Radicchio"", raw'})",0.023149755770076625,0.026992615227909345,0.020140287519966663,0.87,32.23103773584906,1.0,0.019515415069844912,7.4846721905545435,0.991937107257448,0.6712962962962963,0.8663936142371107,0.8080703259005146
